Object IDs,First Version Object ID,KeyValuePair.Assembly Key,First Category,First elementId,Sum of Embodied Carbon_lbs/CO2,First Area,Sum of Embodied Carbon per ft2(lbsCO2/ft2)
1e7ad3f5bfc1e07194f630e8a7316250,15734f8ae9f81ad6e273d75acad015f6,W01,Curtain Panels,14387651,0,0,27.91424
7b8de24f5e8c414d326c3dcc40d1c4c8,15734f8ae9f81ad6e273d75acad015f6,W01,Curtain Panels,14387845,0,0,27.91424
06e3979b8dfef5eec1eec789e43793da,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,11257864,22503.7775,740.4428982,30.39232
0eef87759e7ca675487bf48f4d94bfb6,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,10879500,627451.1349,20645.05556,30.39232
251514fb53fb6297ed680d308306faf4,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,10428153,52758.80194,1735.925456,30.39232
2d6fb5492ea1ac112366d1577bd91ce8,15734f8ae9f81ad6e273d75acad015f6,F04,Floors,10340579,584324.4396,20645.05556,28.30336
40eda30dd8ebfbd4713c0bfc1079d6dc,15734f8ae9f81ad6e273d75acad015f6,F01,Floors,17492386,15884.00099,460.5617492,34.48832
4fa5f531b331fd828ed9584763d58ffb,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,14652265,26991.13151,888.0905277,30.39232
66ab3570b852b2232608607872e08db9,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,15205889,10067.456,331.25,30.39232
92e4cdd9010084081d5fc77a498cb8a4,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,11256545,44998.04587,1480.572917,30.39232
93ef4fbe66760c98f0680115735e6032,15734f8ae9f81ad6e273d75acad015f6,F03,Floors,11365537,30579.75922,996.7638889,30.67904
b96083aa7a75d1eeb331786c03aac5c5,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,13413881,979336.7786,32223.1662,30.39232
caa283933226dea7580aeb33f60a078c,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,15610029,1975.5008,65,30.39232
dc49668f71078101bea01e3d7a8ef02d,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,13648605,86875.34526,2858.463759,30.39232
f4d22ae3a7e8afc4803093529f7c0ed2,15734f8ae9f81ad6e273d75acad015f6,F02,Floors,15296744,5734.017707,188.6666667,30.39232
